query;combination_0;combination_1;combination_2;combination_3;combination_4
C1;11412;13279;5822;5261;5247
C2;44186.4;47381;27646.2;27560.6;25902
C3;163792;170916;300035;300046;300045
F1;1275.8;1369.6;1473.6;1330.2;1334.4
F2;2085.4;2020.6;989.2;872.4;868.4
F3;3759.8;3722.6;2114.2;1973.2;1946.2
F4;2799.4;2797.8;868.8;855.2;831.4
F5;543;546.6;1438.6;1371;1272.8
L1;123.2;134.8;402.6;387;480.4
L2;3590.8;1212.6;1138;830;878.8
L3;72;65.4;304;340.6;325.8
L4;1293.2;1183.4;469.2;387;372.8
L5;4173.8;2149.8;1099.2;945.6;976
S1;897.8;1149.2;1151.8;1161.6;1169
S2;1961.8;1904.8;407;364.6;382.2
S3;4074;4065.8;1158.4;971.6;931
S4;2906;2830.4;459.2;516.2;483.8
S5;3482.2;3437;719;475.4;476.2
S6;640;679;647.6;601.4;564
S7;12.4;15.6;13.6;14.2;13.2
