combination_0;combination_1;combination_2;combination_3;combination_4
453;416;978;992;935
463;430;982;996;941
470;445;1002;1017;962
473;447;1004;1019;964
484;454;1004;1019;965
498;468;1015;1030;977
546;526;1030;1046;993
565;543;1042;1058;1007
587;562;1061;1071;1021
618;600;1074;1084;1034
644;633;1096;1104;1058
649;636;1098;1109;1060
659;637;1100;1109;1061
683;662;1117;1125;1080
691;678;1121;1127;1083
696;689;1128;1137;1092
725;719;1146;1152;1110
735;722;1147;1155;1112
768;774;1163;1174;1131
770;776;1168;1175;1133
795;798;1183;1186;1145
1206;1244;1279;1269;1237
1286;1331;1311;1301;1267
1375;1422;1340;1328;1295
1950;2022;1485;1463;1438
2171;2264;1530;1509;1487
2171;2264;1530;1509;1487
2721;2822;1657;1617;1599
3086;3206;1750;1701;1687
3199;3328;1785;1730;1778
3327;3454;1835;1773;1827
3331;3464;1836;1774;1827
3725;3896;2022;1942;2005
3726;3898;2024;1943;2007
3745;3922;2033;1954;2017
3767;3944;2052;1968;2032
3774;3952;2056;1971;2034
3788;3963;2070;1982;2046
3802;3983;2072;1984;2048
3816;4000;2081;1992;2056
3834;4014;2091;2002;2067
3847;4026;2102;2011;2078
3873;4050;2116;2022;2088
3901;4090;2132;2036;2101
3908;4093;2135;2038;2106
3919;4107;2144;2048;2115
3921;4109;2148;2050;2116
3963;4150;2163;2061;2130
3967;4159;2170;2064;2132
3979;4178;2183;2071;2141
4004;4202;2201;2092;2160
4006;4204;2205;2093;2161
4010;4209;2205;2093;2163
4014;4213;2207;2094;2166
4042;4240;2223;2162;2180
4047;4246;2225;2164;2181
4060;4261;2233;2174;2191
4079;4279;2246;2187;2206
4082;4281;2248;2189;2208
4100;4294;2256;2198;2216
4121;4318;2265;2207;2226
4135;4336;2279;2216;2236
4153;4351;2295;2229;2249
4155;4354;2297;2230;2251
4166;4366;2305;2239;2258
4191;4381;2314;2247;2268
4208;4415;2324;2256;2280
4235;4445;2343;2267;2295
4237;4447;2345;2272;2297
4248;4459;2358;2279;2308
4263;4463;2360;2283;2311
4271;4485;2371;2290;2323
4273;4488;2374;2292;2325
4284;4505;2384;2302;2336
4285;4507;2385;2302;2337
