query;combination_10;combination_11;combination_8;combination_9
F1;939.8;842.2;1938.8;1162.4
F2;182;183.4;263.6;210.4
F3;356.6;339.4;458.8;416
F4;678.4;477.2;2636.2;1376.2
F5;895;838.6;1192.6;1021.8
L1;100.6;109.6;166.8;140.4
L2;1030.4;908.6;1467.2;1270.6
L3;101.4;96.2;102.4;108.2
L4;323.2;324.2;414.6;368.4
L5;1241.8;1122.6;1674.6;1374.6
S1;731.6;686.2;995.6;850.4
S2;1104;969.4;2295.8;1686
S3;365.8;316;1123.2;613.4
S4;352;280.2;1341.6;609.2
S5;404.2;366.2;439.6;439
S6;314.2;233.6;1773.8;949
S7;38;38;125.2;55.8
