query;combination_0;combination_1;combination_10;combination_11;combination_2;combination_3;combination_4;combination_5;combination_6;combination_7;combination_8;combination_9
F1;1230.2;1151.4;939.8;842.2;958.6;1077.8;1308.2;1160;1008.8;985.2;1938.8;1162.4
F2;207.4;191.8;182;183.4;126.4;117.6;233.2;181;132;151;263.6;210.4
F3;433.4;382;356.6;339.4;284.8;290.4;474;385.2;299.6;321.4;458.8;416
F4;3879.8;3082.6;678.4;477.2;1915.6;2045.4;4191.6;3373.2;2057.8;2198;2636.2;1376.2
F5;1278.4;931.4;895;838.6;901.2;650.2;1373.6;1073.4;834.4;690.6;1192.6;1021.8
L1;175.6;161.6;100.6;109.6;112.2;121.2;177.2;162;117;120;166.8;140.4
L2;6121.4;5467.6;1030.4;908.6;3747.2;3700.8;2046.6;1741.8;1396.8;1327;1467.2;1270.6
L3;87.8;81.8;101.4;96.2;85.6;70.4;102.6;86.8;64.8;72.8;102.4;108.2
L4;1270.2;1131.2;323.2;324.2;930.6;919.8;1326;1189.4;948.4;964;414.6;368.4
L5;6628.8;5645.2;1241.8;1122.6;4640;5125.6;2639.8;2198.2;1761.4;2049;1674.6;1374.6
S1;943.4;794.6;731.6;686.2;541.4;558;994;808.8;561.2;854.6;995.6;850.4
S2;5417;4887.4;1104;969.4;3334.6;3449.8;5957;4567.4;3307;3559.8;2295.8;1686
S3;3848.8;3346.4;365.8;316;2600.8;2523.2;3978.8;3600.6;2524.8;2594.4;1123.2;613.4
S4;2737.4;2105.6;352;280.2;1505.6;1554.4;2534;2079.6;1644.4;1978.6;1341.6;609.2
S5;3963.6;3436.8;404.2;366.2;2860;2717;4710.8;3445.8;2865;2922;439.6;439
S6;882.8;793.2;314.2;233.6;754.4;604;951.8;806;761.6;614;1773.8;949
S7;45.8;51.4;38;38;38.4;32.6;56.8;48.8;37.6;34.2;125.2;55.8
