query;combination_0;combination_2;combination_4;combination_6;combination_7
F1;1446.6;1444;1343;1148.4;1237
F2;947.4;912.6;568.2;949.8;1263.6
F3;1925;1700;1234.2;1226;1160.2
F4;1487.2;949.2;873.8;1170.2;1401.8
F5;2906.8;2164.2;1660.2;1380.4;1339
L1;575;331.4;188.8;178.8;99
L2;422.4;481.8;395;868.4;1200.6
L3;340.4;349;137.8;218.6;46.2
L4;393.4;398.8;533.4;756.4;837.2
L5;389.2;390.6;473.2;940;1112.6
S1;3308;2002.4;1177.6;589.4;627
S2;834.6;690.4;704.8;1087.4;1137
S3;516.4;508.6;577.6;1016.2;1500
S4;519;643;473.4;810.8;1365.6
S5;619.8;551;697;874.6;1538.8
S6;910.8;612;406.4;723.4;855.4
S7;120;131.8;93.8;38.2;17
